horizon,variable,shock,variance_share
1,dy,ea,1.0934504011177844
1,dy,eb,65.14449962385969
1,dy,eg,3.96159691051292
1,dy,eqs,14.431863174800736
1,dy,em,10.183448167019664
1,dy,epinf,3.9053480897911506
1,dy,ew,1.2797936328980695
1,pinfobs,ea,0.11158005549590086
1,pinfobs,eb,0.3690686991635735
1,pinfobs,eg,0.008052524752797292
1,pinfobs,eqs,0.06727501876522557
1,pinfobs,em,0.3231233349051174
1,pinfobs,epinf,95.0694391847632
1,pinfobs,ew,4.051461182154201
1,robs,ea,0.34135726657289656
1,robs,eb,8.967515791138617
1,robs,eg,0.0768978941266445
1,robs,eqs,0.5740031490240556
1,robs,em,33.956585762079925
1,robs,epinf,53.072975601951974
1,robs,ew,3.0106645351058865
2,dy,ea,1.4566238572797623
2,dy,eb,63.29174371701348
2,dy,eg,3.5082281245572435
2,dy,eqs,15.667656841812471
2,dy,em,11.528773969051553
2,dy,epinf,3.419995756917732
2,dy,ew,1.1269777333677404
2,pinfobs,ea,0.09882094461569016
2,pinfobs,eb,0.3376984635557654
2,pinfobs,eg,0.0064743092023878375
2,pinfobs,eqs,0.060309924062792473
2,pinfobs,em,0.34307258744032787
2,pinfobs,epinf,94.52703161949844
2,pinfobs,ew,4.626592151624596
2,robs,ea,0.30626938675935056
2,robs,eb,9.719020808704945
2,robs,eg,0.06643151689054148
2,robs,eqs,0.7719558242901616
2,robs,em,21.431080839654864
2,robs,epinf,63.732409174713325
2,robs,ew,3.972832448986819
3,dy,ea,1.7302886549132404
3,dy,eb,60.04971899533683
3,dy,eg,3.46796189399949
3,dy,eqs,15.608175911886054
3,dy,em,11.645406356141308
3,dy,epinf,6.380411864537266
3,dy,ew,1.1180363231857968
3,pinfobs,ea,0.08588570720542735
3,pinfobs,eb,0.27639050017130806
3,pinfobs,eg,0.005204025859128999
3,pinfobs,eqs,0.048487257188021805
3,pinfobs,em,0.33162419282142164
3,pinfobs,epinf,94.27793656951361
3,pinfobs,ew,4.974471747241075
3,robs,ea,0.26180926350421374
3,robs,eb,9.447513026115645
3,robs,eg,0.05484763605612203
3,robs,eqs,0.8710447645515864
3,robs,em,14.282979121350989
3,robs,epinf,70.42828737071251
3,robs,ew,4.653518817708939
4,dy,ea,1.8136032741530452
4,dy,eb,56.57237127452619
4,dy,eg,3.319940848826318
4,dy,eqs,14.590015945237534
4,dy,em,10.906505047302547
4,dy,epinf,11.49090645097382
4,dy,ew,1.3066571589805414
4,pinfobs,ea,0.07562587329081791
4,pinfobs,eb,0.2274178036517492
4,pinfobs,eg,0.004340065724097626
4,pinfobs,eqs,0.039912696642841375
4,pinfobs,em,0.30666931133719105
4,pinfobs,epinf,94.13009441109442
4,pinfobs,ew,5.215939838258878
4,robs,ea,0.2212443605468016
4,robs,eb,8.718778249525629
4,robs,eg,0.04494128160249315
4,robs,eqs,0.8958674216498869
4,robs,em,10.138564622759723
4,robs,epinf,74.83144001352706
4,robs,ew,5.149164050388406
5,dy,ea,1.7628254912454153
5,dy,eb,53.67232063995059
5,dy,eg,3.0879186732125143
5,dy,eqs,13.35489010530595
5,dy,em,9.98632824593427
5,dy,epinf,16.5287707557716
5,dy,ew,1.6069460885796443
5,pinfobs,ea,0.06777130843172008
5,pinfobs,eb,0.20670642276921805
5,pinfobs,eg,0.003768675812910549
5,pinfobs,eqs,0.038317665455281036
5,pinfobs,em,0.2777499586383451
5,pinfobs,epinf,94.02191193121566
5,pinfobs,ew,5.3837740376768775
5,robs,ea,0.18768014725792276
5,robs,eb,7.830628549313869
5,robs,eg,0.03711111894818312
5,robs,eqs,0.871249784897158
5,robs,em,7.624119984308769
5,robs,epinf,77.93042028064446
5,robs,ew,5.518790134629661
6,dy,ea,1.6663180062261334
6,dy,eb,51.532527487609755
6,dy,eg,2.862338839636135
6,dy,eqs,12.341522758657932
6,dy,em,9.26600821749651
6,dy,epinf,20.412179602307408
6,dy,ew,1.9191050880661062
6,pinfobs,ea,0.06172776454743144
6,pinfobs,eb,0.21504633218743194
6,pinfobs,eg,0.003383448428138871
6,pinfobs,eqs,0.04455864068251127
6,pinfobs,em,0.25091495549255716
6,pinfobs,epinf,93.9300533148621
6,pinfobs,ew,5.494315543799838
6,robs,ea,0.16078270987840979
6,robs,eb,6.931677244810343
6,robs,eg,0.03106358658802343
6,robs,eqs,0.8168335699038048
6,robs,em,6.018040079355727
6,robs,epinf,80.24628435782756
6,robs,ew,5.795318451636131
7,dy,ea,1.5742468633705726
7,dy,eb,50.01793035619087
7,dy,eg,2.6851227539054534
7,dy,eqs,11.637344789403889
7,dy,em,8.812481710131648
7,dy,epinf,23.08170250720595
7,dy,ew,2.1911710197916117
7,pinfobs,ea,0.0569825204155533
7,pinfobs,eb,0.2452642630687276
7,pinfobs,eg,0.003109297424529003
7,pinfobs,eqs,0.05757082404033953
7,pinfobs,em,0.2295370545006184
7,pinfobs,epinf,93.84842461316401
7,pinfobs,ew,5.559111427386222
7,robs,ea,0.1393940768076919
7,robs,eb,6.094218061582382
7,robs,eg,0.026402486493964216
7,robs,eqs,0.7471820290722327
7,robs,em,4.940601008099892
7,robs,epinf,82.05441010854052
7,robs,ew,5.997792229403317
8,dy,ea,1.50326971985634
8,dy,eb,48.955367364114245
8,dy,eg,2.5605445073293973
8,dy,eqs,11.186829288367601
8,dy,em,8.568779522830923
8,dy,epinf,24.81790021397731
8,dy,ew,2.4073093835241783
8,pinfobs,ea,0.05315951550392539
8,pinfobs,eb,0.28764207356935023
8,pinfobs,eg,0.002899072877121485
8,pinfobs,eqs,0.07529247001810493
8,pinfobs,em,0.2148942159583801
8,pinfobs,epinf,93.77867066986299
8,pinfobs,ew,5.5874419822101276
8,robs,ea,0.12234289993636599
8,robs,eb,5.350279905887531
8,robs,eg,0.022784796700156287
8,robs,eqs,0.6726737755941667
8,robs,em,4.185117130230539
8,robs,epinf,83.50821351894561
8,robs,ew,6.138587972705651
9,dy,ea,1.4544595541534937
9,dy,eb,48.214139051149374
9,dy,eg,2.4789518572528495
9,dy,eqs,10.912438918653402
9,dy,em,8.461180670980001
9,dy,epinf,25.910657326067614
9,dy,ew,2.5681726217432606
9,pinfobs,ea,0.05000097830374524
9,pinfobs,eb,0.3333005613782641
9,pinfobs,eg,0.002725706624669213
9,pinfobs,eqs,0.09541748252210758
9,pinfobs,em,0.2068098225640052
9,pinfobs,epinf,93.7247879309808
9,pinfobs,ew,5.586957517626406
9,robs,ea,0.1086478913180259
9,robs,eb,4.709539233082561
9,robs,eg,0.01994478930042161
9,robs,eqs,0.6003012249572893
9,robs,em,3.6343314241471028
9,robs,epinf,84.70022869551318
9,robs,ew,6.227006741681422
10,dy,ea,1.4236955539981802
10,dy,eb,47.7045325047739
10,dy,eg,2.428444622368637
10,dy,eqs,10.751304019946453
10,dy,em,8.43130017429593
10,dy,epinf,26.57998607318644
10,dy,ew,2.680737051430462
10,pinfobs,ea,0.0473354384245014
10,pinfobs,eb,0.3757530223384673
10,pinfobs,eg,0.002574929902755434
10,pinfobs,eqs,0.11589000736537623
10,pinfobs,em,0.20426164354430007
10,pinfobs,epinf,93.69026472159001
10,pinfobs,ew,5.56392023683459
10,robs,ea,0.09753752636937826
10,robs,eb,4.169065982054382
10,robs,eg,0.017684404985990512
10,robs,eqs,0.5343517993786889
10,robs,em,3.21893426763366
10,robs,epinf,85.69152924299803
10,robs,ew,6.270896776579867
11,dy,ea,1.4059734501384988
11,dy,eb,47.363220537618375
11,dy,eg,2.398795283776262
11,dy,eqs,10.659609770518914
11,dy,em,8.439798290512345
11,dy,epinf,26.978419888189787
11,dy,ew,2.754182779245818
11,pinfobs,ea,0.045048878563017036
11,pinfobs,eb,0.41117884809216443
11,pinfobs,eg,0.002439815285686333
11,pinfobs,eqs,0.13514927129288284
11,pinfobs,em,0.20587129223743
11,pinfobs,epinf,93.67691495476234
11,pinfobs,ew,5.523396939766478
11,robs,ea,0.08842119181060594
11,robs,eb,3.7191991223718723
11,robs,eg,0.01585817224791054
11,robs,eqs,0.4770263420978673
11,robs,em,2.896337343291765
11,robs,epinf,86.52586239572196
11,robs,ew,6.27729543245804
