horizon,variable,shock,variance_share
1,dy,ea,0.6436847517885604
1,dy,eb,29.037585322452802
1,dy,eg,41.14187048295561
1,dy,eqs,12.03234910143758
1,dy,em,12.638531351043419
1,dy,epinf,3.297048553965196
1,dy,ew,1.2089304363568258
1,pinfobs,ea,0.02089752962104771
1,pinfobs,eb,0.0013122585463763896
1,pinfobs,eg,0.0005014063226384816
1,pinfobs,eqs,0.0010947053399631512
1,pinfobs,em,0.026860617408737863
1,pinfobs,epinf,96.05928617542227
1,pinfobs,ew,3.890047307338957
1,robs,ea,2.9262392301256166
1,robs,eb,4.505743507773534
1,robs,eg,0.24979734960709535
1,robs,eqs,0.2370774212664403
1,robs,em,15.192152617064536
1,robs,epinf,72.87638828758766
1,robs,ew,4.012601586575125
2,dy,ea,2.3477949795646116
2,dy,eb,25.341777518334403
2,dy,eg,36.58712331965774
2,dy,eqs,11.9483947575123
2,dy,em,15.819137992209606
2,dy,epinf,6.718696370155384
2,dy,ew,1.23707506256595
2,pinfobs,ea,0.02125480314637507
2,pinfobs,eb,0.001430309874987231
2,pinfobs,eg,0.0005460742360859963
2,pinfobs,eqs,0.0012104295122354416
2,pinfobs,em,0.030427846842852768
2,pinfobs,epinf,95.50624304472171
2,pinfobs,ew,4.438887491665748
2,robs,ea,1.7874157381064386
2,robs,eb,2.3136294380967644
2,robs,eg,0.15696772418513466
2,robs,eqs,0.2619708718091258
2,robs,em,7.599928634268071
2,robs,epinf,83.38269351022981
2,robs,ew,4.497394083304649
3,dy,ea,2.6527143500623107
3,dy,eb,20.555187594081893
3,dy,eg,29.116270910413423
3,dy,eqs,9.471224809255151
3,dy,em,13.67914851176241
3,dy,epinf,22.759092708537114
3,dy,ew,1.766361115887689
3,pinfobs,ea,0.020417536488874122
3,pinfobs,eb,0.0014537403155123645
3,pinfobs,eg,0.0005598633505060317
3,pinfobs,eqs,0.0012469255313989943
3,pinfobs,em,0.03224684318655732
3,pinfobs,epinf,95.1734939087873
3,pinfobs,ew,4.770581182339875
3,robs,ea,1.2118521531901691
3,robs,eb,1.3493188378645875
3,robs,eg,0.10464998336279015
3,robs,eqs,0.25460519958520245
3,robs,em,4.29711398553744
3,robs,epinf,87.93019993611584
3,robs,ew,4.852259904343984
4,dy,ea,2.284392577535943
4,dy,eb,15.798239155829357
4,dy,eg,21.799419899774527
4,dy,eqs,7.063013799078721
4,dy,em,10.368961822039596
4,dy,epinf,40.263810728568885
4,dy,ew,2.4221620171729663
4,pinfobs,ea,0.019254948003936574
4,pinfobs,eb,0.001437196270273805
4,pinfobs,eg,0.0005614965226066061
4,pinfobs,eqs,0.0012451327106077904
4,pinfobs,em,0.033219164027871194
4,pinfobs,epinf,94.93045064667555
4,pinfobs,ew,5.013831415789165
4,robs,ea,0.8802810726678836
4,robs,eb,0.8756073071800907
4,robs,eg,0.0739572094026548
4,robs,eqs,0.23424744463165156
4,robs,em,2.7066949657742945
4,robs,epinf,90.09919558559861
4,robs,ew,5.130016414744798
5,dy,ea,1.8487788711320952
5,dy,eb,12.278902667860079
5,dy,eg,16.643898892688753
5,dy,eqs,5.436786645030459
5,dy,em,7.895351817629995
5,dy,epinf,52.93435499265898
5,dy,ew,2.9619261129996346
5,pinfobs,ea,0.01804600370634322
5,pinfobs,eb,0.0014016183369786417
5,pinfobs,eg,0.0005575091444642681
5,pinfobs,eqs,0.0012213573551884366
5,pinfobs,em,0.03367101620236565
