variable,shock,period,value
pinfobs,eb,0,0.019469603444547734
pinfobs,eb,1,0.022582381163946064
pinfobs,eb,2,0.021218593510526462
pinfobs,eb,3,0.01893703121329482
pinfobs,eb,4,0.016809330546004198
pinfobs,eb,5,0.015124250381168047
pinfobs,eb,6,0.013913941923207274
pinfobs,eb,7,0.013126781773399765
pinfobs,eb,8,0.012687630032828134
pinfobs,eb,9,0.012519829070212318
pinfobs,eb,10,0.01255331867310805
pinfobs,eb,11,0.01272738288797648
pinfobs,eb,12,0.012991194254368676
pinfobs,eb,13,0.013303409057311755
pinfobs,eb,14,0.013631345833559072
pinfobs,eb,15,0.013949992182855864
pinfobs,eb,16,0.014240963270616414
pinfobs,eb,17,0.01449147948204621
pinfobs,eb,18,0.014693402113827303
pinfobs,eb,19,0.014842349566065005
robs,eb,0,0.06922846335525934
robs,eb,1,0.10364952348988354
robs,eb,2,0.11978895872698359
robs,eb,3,0.1254746619528544
robs,eb,4,0.12475132551842139
robs,eb,5,0.11995554719491874
robs,eb,6,0.11259224559458336
robs,eb,7,0.10371136067065523
robs,eb,8,0.09407756163578074
robs,eb,9,0.08425416388461104
robs,eb,10,0.0746509841966343
robs,eb,11,0.0655563587474508
robs,eb,12,0.05716147421238493
robs,eb,13,0.049580276043550864
robs,eb,14,0.04286627585285552
robs,eb,15,0.03702683222562286
robs,eb,16,0.032035208355706946
robs,eb,17,0.027840622906436296
robs,eb,18,0.02437648944146087
robs,eb,19,0.02156703816819161
y,eb,0,1.0588870329956965
y,eb,1,1.3000426168878925
y,eb,2,1.2250445007076423
y,eb,3,1.0407016355464238
y,eb,4,0.831904759137191
y,eb,5,0.6328020856538361
y,eb,6,0.4562126999881307
y,eb,7,0.30586829582308867
y,eb,8,0.18157655469339865
y,eb,9,0.08145083915679657
y,eb,10,0.002910342403054128
y,eb,11,-0.05684645489607344
y,eb,12,-0.10060311566691665
y,eb,13,-0.13099830700020315
y,eb,14,-0.15045711297241182
y,eb,15,-0.16115600788280265
y,eb,16,-0.1650090947219428
y,eb,17,-0.16366855562423702
y,eb,18,-0.1585347724373165
y,eb,19,-0.1507729005835826
lab,eb,0,1.149677380683915
lab,eb,1,1.3788527882674482
lab,eb,2,1.2630228641346566
lab,eb,3,1.0371744094958766
lab,eb,4,0.7958050012754246
lab,eb,5,0.5752295935915216
lab,eb,6,0.38756927957268755
lab,eb,7,0.2348767027548233
lab,eb,8,0.11507181318147852
lab,eb,9,0.0244815527031792
lab,eb,10,-0.0410445593608124
lab,eb,11,-0.08562859833902968
lab,eb,12,-0.11312914836486163
lab,eb,13,-0.127033477343246
lab,eb,14,-0.13041427699041713
lab,eb,15,-0.1259219759343832
lab,eb,16,-0.11579799375972485
lab,eb,17,-0.10190068647707184
lab,eb,18,-0.0857387951706492
lab,eb,19,-0.06850885644714676
pinfobs,eg,0,0.010694974445334182
pinfobs,eg,1,0.012189434875658045
pinfobs,eg,2,0.011571347751298089
pinfobs,eg,3,0.01060686413948475
pinfobs,eg,4,0.009717862250078535
pinfobs,eg,5,0.008986937681816243
pinfobs,eg,6,0.008411984831366959
pinfobs,eg,7,0.007971109309817037
pinfobs,eg,8,0.007639426221911161
pinfobs,eg,9,0.00739352150386785
pinfobs,eg,10,0.007212652260135899
pinfobs,eg,11,0.007079015261059807
pinfobs,eg,12,0.006977702834612631
pinfobs,eg,13,0.006896527764012839
pinfobs,eg,14,0.006825783230567262
pinfobs,eg,15,0.006757970320569351
pinfobs,eg,16,0.006687513460169603
pinfobs,eg,17,0.006610477958008065
pinfobs,eg,18,0.006524299675943368
pinfobs,eg,19,0.006427533663938889
robs,eg,0,0.01943909404127564
robs,eg,1,0.030274686302130593
robs,eg,2,0.03648224087182683
robs,eg,3,0.039575087258696406
robs,eg,4,0.04054175305211816
robs,eg,5,0.04005241773227275
robs,eg,6,0.03858179003094553
robs,eg,7,0.036477896514594654
robs,eg,8,0.03400083712924995
robs,eg,9,0.03134574452917871
robs,eg,10,0.028657531107588063
robs,eg,11,0.026041274946247084
robs,eg,12,0.023570151200572598
robs,eg,13,0.0212918409947771
robs,eg,14,0.019233875108076504
robs,eg,15,0.017408144821516647
robs,eg,16,0.01581470951488817
robs,eg,17,0.014444985947279276
robs,eg,18,0.013284386060161024
robs,eg,19,0.012314463329436975
y,eg,0,0.7489951805457457
y,eg,1,0.6167157323153417
y,eg,2,0.49329449992450386
y,eg,3,0.3802909614701052
y,eg,4,0.2784884905155705
y,eg,5,0.18808677551065778
y,eg,6,0.10885954173870466
y,eg,7,0.04027962438895649
y,eg,8,-0.018382152611911284
y,eg,9,-0.06797900921170685
y,eg,10,-0.10942729499663528
y,eg,11,-0.14365971051800003
y,eg,12,-0.17159031200492653
y,eg,13,-0.19408930484142467
y,eg,14,-0.21196588763412064
y,eg,15,-0.22595761896907102
y,eg,16,-0.23672496768827317
y,eg,17,-0.24484988394296303
y,eg,18,-0.25083739457131876
y,eg,19,-0.2551193818712279
lab,eg,0,0.8253405981033513
lab,eg,1,0.6860245921829135
lab,eg,2,0.5610066169354013
lab,eg,3,0.45116162749673194
lab,eg,4,0.3564648278467247
lab,eg,5,0.27630720605705134
lab,eg,6,0.20970200660336075
lab,eg,7,0.1554323681037827
lab,eg,8,0.11216079258544698
lab,eg,9,0.0785107862606319
lab,eg,10,0.05312691288674393
lab,eg,11,0.03471763586734705
lab,eg,12,0.022084341494958637
lab,eg,13,0.01413932672239554
lab,eg,14,0.009915095844371391
lab,eg,15,0.008566955372568907
lab,eg,16,0.009370589052155598
lab,eg,17,0.011716020892214019
lab,eg,18,0.01509912796809465
lab,eg,19,0.019111644895662083
pinfobs,eqs,0,-0.01989878798521083
pinfobs,eqs,1,-0.0267611349173843
pinfobs,eqs,2,-0.031057498585331467
pinfobs,eqs,3,-0.03499448556014517
pinfobs,eqs,4,-0.03881688273611794
pinfobs,eqs,5,-0.042373204748974325
pinfobs,eqs,6,-0.04548972216464031
pinfobs,eqs,7,-0.04804708138988445
pinfobs,eqs,8,-0.04998480634390423
pinfobs,eqs,9,-0.05129021524188837
pinfobs,eqs,10,-0.05198570672604952
pinfobs,eqs,11,-0.05211763552326398
pinfobs,eqs,12,-0.0517473056882517
pinfobs,eqs,13,-0.05094395113388395
pinfobs,eqs,14,-0.04977943069189039
