variable,shock,period,value
pinfobs,eb,0,0.006481781220132099
pinfobs,eb,1,0.008234199889303406
pinfobs,eb,2,0.008373338444245149
pinfobs,eb,3,0.007970573135280934
pinfobs,eb,4,0.007395222491107578
pinfobs,eb,5,0.006776892661625067
pinfobs,eb,6,0.006163013667975892
pinfobs,eb,7,0.005572229043874555
pinfobs,eb,8,0.005012534571412264
pinfobs,eb,9,0.004487548490474169
pinfobs,eb,10,0.003998782497209641
pinfobs,eb,11,0.0035465485972074884
pinfobs,eb,12,0.003130383947923865
pinfobs,eb,13,0.002749291509605012
pinfobs,eb,14,0.002401899693537546
pinfobs,eb,15,0.002086578962831709
pinfobs,eb,16,0.0018015310386283456
pinfobs,eb,17,0.001544858378251135
pinfobs,eb,18,0.0013146184580139497
pinfobs,eb,19,0.0011088659682710889
robs,eb,0,0.1241348021690607
robs,eb,1,0.12263468411140588
robs,eb,2,0.0964100128142702
robs,eb,3,0.07095754454086078
robs,eb,4,0.05117912426272131
robs,eb,5,0.0368044228346287
robs,eb,6,0.026593781379146364
robs,eb,7,0.019387147798862303
robs,eb,8,0.014295414190468314
robs,eb,9,0.010679079269133807
robs,eb,10,0.008089209978114464
robs,eb,11,0.006213809415494653
robs,eb,12,0.004837003662282013
robs,eb,13,0.0038097260725939996
robs,eb,14,0.0030291240211990367
robs,eb,15,0.002424228346117774
robs,eb,16,0.0019460250821348168
robs,eb,17,0.0015605945240462216
robs,eb,18,0.0012443788664309174
robs,eb,19,0.000980923748338025
y,eb,0,0.5036018675522534
y,eb,1,0.5192962204971979
y,eb,2,0.43087701863485167
y,eb,3,0.3380100634060647
y,eb,4,0.2618947266808724
y,eb,5,0.2034161141691638
y,eb,6,0.1591816670205915
y,eb,7,0.12565667753830248
y,eb,8,0.10002298990754555
y,eb,9,0.0801963722750537
y,eb,10,0.0646720346624204
y,eb,11,0.052369380713633375
y,eb,12,0.04251031786790222
y,eb,13,0.03453067028937405
y,eb,14,0.02801739443354175
y,eb,15,0.022664520947916614
y,eb,16,0.018242333033987576
y,eb,17,0.014575804441382595
y,eb,18,0.011529489124885488
y,eb,19,0.008996900108956419
lab,eb,0,0.3580337677452823
lab,eb,1,0.36439712631324095
lab,eb,2,0.29700303456601607
lab,eb,3,0.2276817961776981
lab,eb,4,0.17144298137361888
lab,eb,5,0.12865494342511666
lab,eb,6,0.09665766969060659
lab,eb,7,0.07274331308793237
lab,eb,8,0.05476387348416191
lab,eb,9,0.041132593408111165
lab,eb,10,0.030703837436295688
lab,eb,11,0.02265472178371522
lab,eb,12,0.016392734917560322
lab,eb,13,0.011488537624790842
lab,eb,14,0.007628304713678593
lab,eb,15,0.004580234126394899
lab,eb,16,0.002171071931001703
lab,eb,17,0.0002696497090873204
lab,eb,18,-0.0012246859597838918
lab,eb,19,-0.0023902342402532953
pinfobs,eg,0,0.004006633023514339
pinfobs,eg,1,0.0050865583274282145
pinfobs,eg,2,0.005231412518276191
pinfobs,eg,3,0.005081594556002544
pinfobs,eg,4,0.004845107228120704
pinfobs,eg,5,0.0045906783287279485
pinfobs,eg,6,0.004341596387846036
pinfobs,eg,7,0.004105949421731259
pinfobs,eg,8,0.0038864956797406425
pinfobs,eg,9,0.0036839681859460738
pinfobs,eg,10,0.003498236097202456
pinfobs,eg,11,0.0033287497885385875
pinfobs,eg,12,0.0031747356142518557
pinfobs,eg,13,0.003035295926687498
pinfobs,eg,14,0.0029094684586972175
pinfobs,eg,15,0.0027962652690961542
pinfobs,eg,16,0.0026946996807131196
pinfobs,eg,17,0.00260380528409776
pinfobs,eg,18,0.0025226492998084993
pinfobs,eg,19,0.0024503417631003277
robs,eg,0,0.02922834579125433
robs,eg,1,0.03480647556885397
robs,eg,2,0.03188468698699087
robs,eg,3,0.026452849520675503
robs,eg,4,0.02100146024184335
robs,eg,5,0.016405254476592912
robs,eg,6,0.012836400431936346
robs,eg,7,0.010193992722276946
robs,eg,8,0.008297030515883819
robs,eg,9,0.006964535765202395
