Parametro,Nombre Dynare,Descripcion,Prior Distr.,Prior Mean,Prior SD,Post. Mode,Post. Mean,Post. 5%,Post. 95%
phi,csadjcost,Costo ajuste inversion,Normal,4.0,1.5,6.332646000219443,,,
sigma_c,csigma,Aversion al riesgo,Normal,1.5,0.37,1.240415891936324,,,
h,chabb,Formacion de habito,Beta,0.7,0.1,0.7628714656124869,,,
xi_w,cprobw,Prob. Calvo salarios,Beta,0.5,0.1,0.821711393066859,,,
sigma_l,csigl,Elasticidad oferta laboral,Normal,2.0,0.75,2.8389152081818745,,,
xi_p,cprobp,Prob. Calvo precios,Beta,0.5,0.1,0.8323177660104926,,,
iota_w,cindw,Indexacion salarios,Beta,0.5,0.15,0.44230589099183376,,,
iota_p,cindp,Indexacion precios,Beta,0.5,0.15,0.3180358482618275,,,
psi,czcap,Utilizacion capacidad,Beta,0.5,0.15,0.27144205682441835,,,
Phi,cfc,Costo fijo,Normal,1.25,0.12,1.4745365087920501,,,
r_pi,crpi,Taylor: inflacion,Normal,1.5,0.25,1.7855522950680816,,,
rho,crr,Taylor: suavizamiento,Beta,0.75,0.1,0.8537435909889937,,,
r_y,cry,Taylor: output gap,Normal,0.12,0.05,0.1451256906375992,,,
r_Delta_y,crdy,Taylor: crecimiento output,Normal,0.12,0.05,0.2219071637607011,,,
pi_bar,constepinf,Inflacion estado estacionario,Gamma,0.62,0.1,0.7004437103546594,,,
beta_const,constebeta,100(beta^-1 - 1),Gamma,0.25,0.1,0.7406255833812416,,,
l_bar,constelab,Horas estado estacionario,Normal,0.0,2.0,1.2918544488853667,,,
gamma_bar,ctrend,Tendencia crecimiento,Normal,0.4,0.1,0.40033436308832615,,,
alpha,calfa,Participacion capital,Normal,0.3,0.05,0.24876581511324616,,,
