Parametro,Nombre Dynare,Descripcion,Tipo,Prior Distr.,Prior Mean,Prior SD,Post. Mode,Post. Mean
sigma_a,ea,Shock tecnologia,Shock Std,InvGamma,0.1,2.0,1.4657206054287055,
sigma_b,eb,Shock preferencia,Shock Std,InvGamma,0.1,2.0,0.7443100573444873,
sigma_g,eg,Shock gasto gobierno,Shock Std,InvGamma,0.1,2.0,1.2466184724951037,
sigma_I,eqs,Shock inversion,Shock Std,InvGamma,0.1,2.0,1.197718571168915,
sigma_r,em,Shock politica monetaria,Shock Std,InvGamma,0.1,2.0,1.2644077903015898,
sigma_p,epinf,Shock markup precios,Shock Std,InvGamma,0.1,2.0,1.549202008858407,
sigma_w,ew,Shock markup salarios,Shock Std,InvGamma,0.1,2.0,0.5432752800235091,
rho_a,crhoa,Persistencia tecnologia,Parametro,Beta,0.5,0.2,0.9621336867499661,
rho_b,crhob,Persistencia preferencia,Parametro,Beta,0.5,0.2,0.7313467356073494,
rho_g,crhog,Persistencia gasto,Parametro,Beta,0.5,0.2,0.9032318485320854,
rho_I,crhoqs,Persistencia inversion,Parametro,Beta,0.5,0.2,0.8140212916256854,
rho_r,crhoms,Persistencia pol. monetaria,Parametro,Beta,0.5,0.2,0.24318907686316713,
rho_p,crhopinf,Persistencia markup precios,Parametro,Beta,0.5,0.2,0.9771320085928793,
rho_w,crhow,Persistencia markup salarios,Parametro,Beta,0.5,0.2,0.9235277965681206,
mu_p,cmap,MA markup precios,Parametro,Beta,0.5,0.2,0.41820222345014474,
mu_w,cmaw,MA markup salarios,Parametro,Beta,0.5,0.2,0.6268995135134163,
rho_ga,cgy,Efecto cruzado g-a,Parametro,Beta,0.5,0.2,0.07490372267347813,
