Parametro,Nombre Dynare,Descripcion,Tipo,Prior Distr.,Prior Mean,Prior SD,Post. Mode,Post. Mean
sigma_a,ea,Shock tecnologia,Shock Std,InvGamma,0.1,2.0,0.5115596479707807,
sigma_b,eb,Shock preferencia,Shock Std,InvGamma,0.1,2.0,0.24433521893534346,
sigma_g,eg,Shock gasto gobierno,Shock Std,InvGamma,0.1,2.0,0.6125366257287004,
sigma_I,eqs,Shock inversion,Shock Std,InvGamma,0.1,2.0,0.4688187521416398,
sigma_r,em,Shock politica monetaria,Shock Std,InvGamma,0.1,2.0,0.31637702732479384,
sigma_p,epinf,Shock markup precios,Shock Std,InvGamma,0.1,2.0,0.203114498843619,
sigma_w,ew,Shock markup salarios,Shock Std,InvGamma,0.1,2.0,0.23699658067202778,
rho_a,crhoa,Persistencia tecnologia,Parametro,Beta,0.5,0.2,0.9368487089661575,
rho_b,crhob,Persistencia preferencia,Parametro,Beta,0.5,0.2,0.28759360723432886,
rho_g,crhog,Persistencia gasto,Parametro,Beta,0.5,0.2,0.9977409435882986,
rho_I,crhoqs,Persistencia inversion,Parametro,Beta,0.5,0.2,0.5792624152890822,
rho_r,crhoms,Persistencia pol. monetaria,Parametro,Beta,0.5,0.2,0.3003698107892559,
rho_p,crhopinf,Persistencia markup precios,Parametro,Beta,0.5,0.2,0.999899915753801,
rho_w,crhow,Persistencia markup salarios,Parametro,Beta,0.5,0.2,0.9986884668123043,
mu_p,cmap,MA markup precios,Parametro,Beta,0.5,0.2,0.7148788207348653,
mu_w,cmaw,MA markup salarios,Parametro,Beta,0.5,0.2,0.8650217676552546,
rho_ga,cgy,Efecto cruzado g-a,Parametro,Beta,0.5,0.2,0.05257052736301316,
