horizon,variable,shock,variance_share
1,dy,ea,15.03818652675456
1,dy,eb,24.408920067948667
1,dy,eg,34.43153785341684
1,dy,eqs,18.966793419468697
1,dy,em,5.145229946365335
1,dy,epinf,1.9126267355690623
1,dy,ew,0.09670545047684449
1,pinfobs,ea,3.506720553972754
1,pinfobs,eb,0.3966352839396509
1,pinfobs,eg,0.2528036799468582
1,pinfobs,eqs,2.1003715119046995
1,pinfobs,em,2.012111580008148
1,pinfobs,epinf,71.57907670509961
1,pinfobs,ew,20.152280685128286
1,robs,ea,8.40212728421457
1,robs,eb,20.224418079756866
1,robs,eg,1.5411449562685284
1,robs,eqs,2.94653329484504
1,robs,em,56.73814094276337
1,robs,epinf,7.0256818538683135
1,robs,ew,3.1219535882833136
2,dy,ea,14.94080994811845
2,dy,eb,22.007923893169636
2,dy,eg,31.41019013271249
2,dy,eqs,21.82119497886845
2,dy,em,6.012761267245578
2,dy,epinf,2.7620064963946347
2,dy,ew,1.0451132834907633
2,pinfobs,ea,4.574243097956031
2,pinfobs,eb,0.5718391749461755
2,pinfobs,eg,0.37255687303534474
2,pinfobs,eqs,3.2241191424293025
2,pinfobs,em,3.1084061618588086
2,pinfobs,epinf,58.45177090791357
2,pinfobs,ew,29.697064641860756
2,robs,ea,11.137155524273128
2,robs,eb,18.645298312102238
2,robs,eg,2.163124346093209
2,robs,eqs,7.544700152764702
2,robs,em,45.33932446906264
2,robs,epinf,9.164720310049674
2,robs,ew,6.005676885654417
3,dy,ea,15.064404013159821
3,dy,eb,21.751979402651735
3,dy,eg,30.17552473044432
3,dy,eqs,21.64070898460251
3,dy,em,5.941582082878451
3,dy,epinf,3.378457457414725
3,dy,ew,2.047343328848441
3,pinfobs,ea,4.922493600728719
3,pinfobs,eb,0.6665776381801394
3,pinfobs,eg,0.4481077041622087
3,pinfobs,eqs,3.991695257323545
3,pinfobs,em,3.8731658996723928
3,pinfobs,epinf,50.33652332090853
3,pinfobs,ew,35.761436579024476
3,robs,ea,12.573792480186894
3,robs,eb,16.45670770201693
3,robs,eg,2.518839093701187
3,robs,eqs,12.99365478884211
3,robs,em,36.26525036011716
3,robs,epinf,10.044794537556086
3,robs,ew,9.14696103757963
4,dy,ea,15.122365490979295
4,dy,eb,21.757141286665888
4,dy,eg,29.55959188385662
4,dy,eqs,21.06585924472955
4,dy,em,5.775873420288481
4,dy,epinf,3.722290994903372
4,dy,ew,2.9968776785768108
4,pinfobs,ea,4.9598823224790545
4,pinfobs,eb,0.7164565615360017
4,pinfobs,eg,0.49872438445935685
4,pinfobs,eqs,4.522343656817198
4,pinfobs,em,4.4177335403010956
4,pinfobs,epinf,45.01841295982136
4,pinfobs,ew,39.866446574585936
4,robs,ea,12.956136292237
4,robs,eb,14.453909390025608
4,robs,eg,2.665331174554487
4,robs,eqs,18.031251187387916
4,robs,em,29.80443514601923
4,robs,epinf,10.077952054970197
4,robs,ew,12.01098475480556
5,dy,ea,15.069247644524644
5,dy,eb,21.69861174135574
5,dy,eg,29.151374022098654
5,dy,eqs,20.719354885615022
5,dy,em,5.697020134024831
5,dy,epinf,3.8607291328716964
5,dy,ew,3.803662439509404
5,pinfobs,ea,4.874551411803246
5,pinfobs,eb,0.7414572904010486
5,pinfobs,eg,0.5349026083968075
5,pinfobs,eqs,4.889061901042409
5,pinfobs,em,4.810450171805607
5,pinfobs,epinf,41.32226224070015
5,pinfobs,ew,42.82731437585074
5,robs,ea,12.770505166285462
5,robs,eb,12.870428520665813
5,robs,eg,2.6983661581667198
5,robs,eqs,22.0737643624563
5,robs,em,25.457525683421927
5,robs,epinf,9.692751895736535
5,robs,ew,14.436658213267236
6,dy,ea,14.940563494274068
6,dy,eb,21.573538884634047
6,dy,eg,28.818601586321563
6,dy,eqs,20.652264094893184
6,dy,em,5.7079915838432065
6,dy,epinf,3.8779976001187557
6,dy,ew,4.429042755915172
6,pinfobs,ea,4.748085400471028
6,pinfobs,eb,0.7520014345453863
6,pinfobs,eg,0.5619792917189146
6,pinfobs,eqs,5.134527708031366
6,pinfobs,em,5.090634828515739
6,pinfobs,epinf,38.66027381208286
6,pinfobs,ew,45.0524975246347
6,robs,ea,12.363060346320768
6,robs,eb,11.690692051706835
6,robs,eg,2.6844480129445145
6,robs,eqs,25.051819924091863
6,robs,em,22.59236957520105
6,robs,epinf,9.167486640252479
6,robs,ew,16.450123449482472
7,dy,ea,14.784195841596878
7,dy,eb,21.418372910182423
7,dy,eg,28.529989326756887
7,dy,eqs,20.772998350327203
7,dy,em,5.773507599641775
7,dy,epinf,3.843871666227308
7,dy,ew,4.877064305267519
7,pinfobs,ea,4.616382088692168
7,pinfobs,eb,0.7539380896849182
7,pinfobs,eg,0.5829081097129186
7,pinfobs,eqs,5.287900157931611
7,pinfobs,em,5.284434544011749
7,pinfobs,epinf,36.70803430159505
7,pinfobs,ew,46.76640270837159
7,robs,ea,11.91549181736234
7,robs,eb,10.831626584788788
7,robs,eg,2.658117994889558
7,robs,eqs,27.115406637502943
7,robs,em,20.705675789022173
7,robs,epinf,8.647100137267769
7,robs,ew,18.126581039166417
8,dy,ea,14.634668766418732
8,dy,eb,21.26118703672789
8,dy,eg,28.281584727607207
8,dy,eqs,20.983198498684764
8,dy,em,5.860610755782861
8,dy,epinf,3.8040426420898346
8,dy,ew,5.174707572688714
8,pinfobs,ea,4.494832635478661
8,pinfobs,eb,0.7508206898384437
8,pinfobs,eg,0.5994980418425643
8,pinfobs,eqs,5.371861709191101
8,pinfobs,em,5.411685559833886
8,pinfobs,epinf,35.26408117089767
8,pinfobs,ew,48.10722019291767
8,robs,ea,11.506310960469362
8,robs,eb,10.210100368064825
8,robs,eg,2.63430973853146
8,robs,eqs,28.46561975425448
8,robs,em,19.45184555686319
8,robs,epinf,8.195062167534621
8,robs,ew,19.53675145428207
9,dy,ea,14.510213208019923
9,dy,eb,21.117173689868398
9,dy,eg,28.07264577060301
9,dy,eqs,21.21360737988727
9,dy,em,5.947635857326385
9,dy,epinf,3.7823461416925426
9,dy,ew,5.3563779526024655
9,pinfobs,ea,4.389079777559359
9,pinfobs,eb,0.7449157377401193
9,pinfobs,eg,0.6129492056733576
9,pinfobs,eqs,5.4050713330420646
9,pinfobs,em,5.488449291162126
9,pinfobs,epinf,34.1912378974327
9,pinfobs,ew,49.168296757390266
9,robs,ea,11.161310758735898
9,robs,eb,9.75986161417777
9,robs,eg,2.6180968068264217
9,robs,eqs,29.288267684506163
9,robs,em,18.605990335267848
9,robs,epinf,7.83138312459298
9,robs,ew,20.735089675892908
10,dy,ea,14.417093861203673
10,dy,eb,20.992222436324457
10,dy,eg,27.900253488202015
10,dy,eqs,21.425025194232603
10,dy,em,6.023209153217644
10,dy,epinf,3.7870529643008815
10,dy,ew,5.455142902518741
10,pinfobs,ea,4.300027093878758
10,pinfobs,eb,0.7376898254390097
10,pinfobs,eg,0.624100701492106
10,pinfobs,eqs,5.402944197821517
10,pinfobs,em,5.527917089904047
10,pinfobs,epinf,33.390677246754905
10,pinfobs,ew,50.01664384470964
10,robs,ea,10.882349967099767
10,robs,eb,9.431918043273473
10,robs,eg,2.6101466911025724
10,robs,eqs,29.735425409411253
10,robs,em,18.02413763334374
10,robs,epinf,7.5545152918868155
10,robs,ew,21.761506963882375
11,dy,ea,14.3545284158997
11,dy,eb,20.886903218405322
11,dy,eg,27.759558512589617
11,dy,eqs,21.59998676090471
11,dy,em,6.083028467697988
11,dy,epinf,3.81710513405161
11,dy,ew,5.498889490451047
11,pinfobs,ea,4.226363087444542
11,pinfobs,eb,0.7300771870501808
11,pinfobs,eg,0.6335576059997847
11,pinfobs,eqs,5.3779394074077365
11,pinfobs,em,5.540787745386588
