variable,shock,period,value
pinfobs,eb,0,0.01804720949377947
pinfobs,eb,1,0.02044614436188119
pinfobs,eb,2,0.01899021670591383
pinfobs,eb,3,0.01668630196455445
pinfobs,eb,4,0.01431029818702112
pinfobs,eb,5,0.012075003644785087
pinfobs,eb,6,0.01004441407340484
pinfobs,eb,7,0.008237065399722354
pinfobs,eb,8,0.0066534911501230365
pinfobs,eb,9,0.005285003386781617
pinfobs,eb,10,0.0041175557819463915
pinfobs,eb,11,0.003134027014104257
pinfobs,eb,12,0.0023157866884785383
pinfobs,eb,13,0.0016438135955270106
pinfobs,eb,14,0.0010994869248822647
pinfobs,eb,15,0.0006651265780717175
pinfobs,eb,16,0.0003243399382200085
pinfobs,eb,17,6.222086653551173e-05
pinfobs,eb,18,-0.00013456213066198597
pinfobs,eb,19,-0.0002777588502637096
robs,eb,0,0.10670266107530835
robs,eb,1,0.0930098451823147
robs,eb,2,0.06844642595588057
robs,eb,3,0.049094494209793726
robs,eb,4,0.035403785571580526
robs,eb,5,0.025852115769275708
robs,eb,6,0.019120917672174942
robs,eb,7,0.014292741985547197
robs,eb,8,0.010758894325467505
robs,eb,9,0.00811937941260088
robs,eb,10,0.006110702103476751
robs,eb,11,0.004557787161800775
robs,eb,12,0.0033426844334236705
robs,eb,13,0.0023843780735752773
robs,eb,14,0.0016258268956022004
robs,eb,15,0.0010256799352903467
robs,eb,16,0.0005529982687331181
robs,eb,17,0.0001838991313185545
robs,eb,18,-0.0001005784366516771
robs,eb,19,-0.000315837146095177
y,eb,0,0.4189155750388478
y,eb,1,0.38453420825921264
y,eb,2,0.29852778383688505
y,eb,3,0.2246095694466832
y,eb,4,0.1680197737157372
y,eb,5,0.12540316053624054
y,eb,6,0.09319908628512644
y,eb,7,0.06871187430368107
y,eb,8,0.05000574098692495
y,eb,9,0.03568906984278454
y,eb,10,0.024746073121514445
y,eb,11,0.016421111260815517
y,eb,12,0.010141276408553057
y,eb,13,0.005464613884693244
y,eb,14,0.0020451761056794688
y,eb,15,-0.0003909163284564624
y,eb,16,-0.0020622006281491383
y,eb,17,-0.0031438420570515015
y,eb,18,-0.0037764354656748397
y,eb,19,-0.004072662148558998
lab,eb,0,0.2857614820552735
lab,eb,1,0.2591800309976449
lab,eb,2,0.19796176564243848
lab,eb,3,0.14590690398382125
lab,eb,4,0.10640154474211104
lab,eb,5,0.07694439967233246
lab,eb,6,0.05494200263129622
lab,eb,7,0.0384365767329027
lab,eb,8,0.02602302291053434
lab,eb,9,0.01669212761419907
lab,eb,10,0.009708724583383411
lab,eb,11,0.0045278324869563345
lab,eb,12,0.0007383408904383139
lab,eb,13,-0.0019748165584258506
lab,eb,14,-0.003856315223689376
lab,eb,15,-0.005098099567761059
lab,eb,16,-0.005851778424215593
lab,eb,17,-0.006237527116292323
lab,eb,18,-0.006350645062276824
lab,eb,19,-0.0062665138268307285
pinfobs,eg,0,0.014408079051665301
pinfobs,eg,1,0.01664220265703842
pinfobs,eg,2,0.016058077666399995
pinfobs,eg,3,0.014837549398395544
pinfobs,eg,4,0.013518559550253939
pinfobs,eg,5,0.0122501557492104
pinfobs,eg,6,0.011081240833298756
pinfobs,eg,7,0.010029602313573971
pinfobs,eg,8,0.009100176868949261
pinfobs,eg,9,0.008291073326876952
pinfobs,eg,10,0.007596303307753183
pinfobs,eg,11,0.007007398359417327
pinfobs,eg,12,0.0065145069574019665
pinfobs,eg,13,0.006107173370887287
pinfobs,eg,14,0.005774892050451008
pinfobs,eg,15,0.005507494226720588
pinfobs,eg,16,0.005295406747279019
pinfobs,eg,17,0.005129813527541605
pinfobs,eg,18,0.005002743402665488
pinfobs,eg,19,0.004907103237292709
robs,eg,0,0.029454996667060085
robs,eg,1,0.03816939325907298
robs,eg,2,0.038200666163337615
robs,eg,3,0.0349186187136028
robs,eg,4,0.030789157922164412
robs,eg,5,0.02683669823963264
robs,eg,6,0.023413731089220402
robs,eg,7,0.020581145028492065
robs,eg,8,0.01828740361994119
robs,eg,9,0.016448429438271184
robs,eg,10,0.014980281431519193
robs,eg,11,0.013810366508895777
robs,eg,12,0.012879526978664346
robs,eg,13,0.012140707635739822
robs,eg,14,0.011556698231580453
robs,eg,15,0.011097943381252806
robs,eg,16,0.010740738185787357
robs,eg,17,0.010465847916371063
robs,eg,18,0.010257490240004552
robs,eg,19,0.010102596099408334
y,eg,0,0.4975427876677409
y,eg,1,0.4297062422251286
y,eg,2,0.3731334202045565
y,eg,3,0.32674532713757265
y,eg,4,0.28891407024800075
y,eg,5,0.2580219432639991
y,eg,6,0.23267160081575947
y,eg,7,0.21172910613936444
y,eg,8,0.19430001171657088
y,eg,9,0.17968590942473728
y,eg,10,0.1673412463415939
y,eg,11,0.15683713240576683
y,eg,12,0.14783324030189018
y,eg,13,0.14005680416485142
y,eg,14,0.13328718961347624
y,eg,15,0.12734459186393787
y,eg,16,0.12208169643369576
y,eg,17,0.11737743167213888
y,eg,18,0.11313219160792673
y,eg,19,0.10926409815139942
lab,eg,0,0.34369044832997103
lab,eg,1,0.29650358670688887
lab,eg,2,0.2577649521374021
lab,eg,3,0.2266075523073603
lab,eg,4,0.2017589799574528
lab,eg,5,0.18197646157604386
lab,eg,6,0.16619676785749915
lab,eg,7,0.15356193194941567
lab,eg,8,0.14339784803839487
lab,eg,9,0.13518010344634487
lab,eg,10,0.12850087731392265
lab,eg,11,0.12304141712750682
lab,eg,12,0.11855068778078681
lab,eg,13,0.11482936731159116
lab,eg,14,0.11171802666620023
lab,eg,15,0.10908841628400792
lab,eg,16,0.10683699501346675
lab,eg,17,0.10488005578699738
lab,eg,18,0.10314998574887968
lab,eg,19,0.10159233814646704
pinfobs,eqs,0,0.041530049281822023
pinfobs,eqs,1,0.049685160481080404
pinfobs,eqs,2,0.04919365000100884
pinfobs,eqs,3,0.04598957448495211
pinfobs,eqs,4,0.041712548548307526
pinfobs,eqs,5,0.03697255481064943
pinfobs,eqs,6,0.03209104872689306
pinfobs,eqs,7,0.027275916609054374
pinfobs,eqs,8,0.022669219209926594
pinfobs,eqs,9,0.01836571983908919
pinfobs,eqs,10,0.014423928755659232
pinfobs,eqs,11,0.010874469260444664
pinfobs,eqs,12,0.007726878084311939
pinfobs,eqs,13,0.004975174271333649
pinfobs,eqs,14,0.002602375346572039
pinfobs,eqs,15,0.0005841077051430554
pinfobs,eqs,16,-0.001108554041751919
pinfobs,eqs,17,-0.002506895528946229
pinfobs,eqs,18,-0.003642908426561897
pinfobs,eqs,19,-0.004548076317953176
robs,eqs,0,0.04072798365153152
robs,eqs,1,0.08030433996741815
robs,eqs,2,0.10682444522994805
robs,eqs,3,0.11969750125057166
robs,eqs,4,0.12180210876242636
robs,eqs,5,0.1165139441024543
robs,eqs,6,0.10671476427978943
robs,eqs,7,0.09456774820751779
robs,eqs,8,0.08157344647499176
robs,eqs,9,0.06870711778422556
robs,eqs,10,0.05655917538028654
robs,eqs,11,0.045452395329355966
robs,eqs,12,0.0355310497337018
robs,eqs,13,0.02682510986219766
robs,eqs,14,0.019294812221964053
robs,eqs,15,0.01286071232506214
robs,eqs,16,0.007423430705662204
robs,eqs,17,0.0028762761246401425
robs,eqs,18,-0.0008869511478946102
robs,eqs,19,-0.003967360439052214
y,eqs,0,0.3692743836061862
y,eqs,1,0.5662763354009156
y,eqs,2,0.6554644024835401
y,eqs,3,0.6750480041659995
y,eqs,4,0.652108288962829
y,eqs,5,0.6051381283442381
y,eqs,6,0.5463862785296684
y,eqs,7,0.4837131262237609
y,eqs,8,0.42196698914798025
y,eqs,9,0.3639689481535021
y,eqs,10,0.31120165698303576
y,eqs,11,0.2642833422067023
y,eqs,12,0.2232898018025279
y,eqs,13,0.1879706128199709
y,eqs,14,0.15789254884106432
y,eqs,15,0.13253333079443252
y,eqs,16,0.11134171322909585
y,eqs,17,0.09377488990875756
y,eqs,18,0.07932071870116185
y,eqs,19,0.0675098702714179
lab,eqs,0,0.2524347497878247
lab,eqs,1,0.3704283440298164
lab,eqs,2,0.4140574346304692
lab,eqs,3,0.411141416911179
lab,eqs,4,0.3810147215926408
lab,eqs,5,0.3366555167968009
lab,eqs,6,0.2864896830623921
lab,eqs,7,0.23578028988088096
lab,eqs,8,0.1876448707663073
lab,eqs,9,0.14377704048436019
lab,eqs,10,0.10494726259110165
lab,eqs,11,0.07134453189693654
lab,eqs,12,0.042806132201126
lab,eqs,13,0.018969925359489825
lab,eqs,14,-0.0006263367589848523
lab,eqs,15,-0.0164815815008081
lab,eqs,16,-0.029092078958547124
lab,eqs,17,-0.03892814309576853
lab,eqs,18,-0.046421397460067
lab,eqs,19,-0.05195890508748459
